#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Street of Rage 2 with Street Fighter Bison (USA)(Hack);베어너클 II - 스트리트 파이터 사천왕 버전;SEGA Genesis;sor2;2018;SEGA;Arcade;2;;;;;;;;16MB;
Streets of Rage 2 - Chunli (USA)(Hack);베어너클 II - 스트리트 파이터 춘리 버전;SEGA Genesis;sor2;2018;SEGA;Arcade;2;;;;;;;;16MB;
Streets of Rage 2 Shiva (USA)(Hack);베어너클 II - 시바 버전;SEGA Genesis;sor2;2018;SEGA;Arcade;2;;;;;;;;16MB;
Streets of Rage 2 Ultra 2018 (USA)(Hack);베어너클 II - 울트라 2018;SEGA Genesis;sor2;2018;SEGA;Arcade;2;;;;;;;;16MB;
Streets of Rage 2 Wof (USA)(Hack);베어너클 II - 천지를 먹다 버전;SEGA Genesis;sor2;2018;SEGA;Arcade;2;;;;;;;;16MB;
sor2;베어너클 II : 사투의 진혼가;MAME megadrij;;1993;SEGA;Arcade;2;;;;;;;;16MB;
sor3k;베어너클 III ;MAME megadrij;Bare Knuckle III (J);1994;SEGA;Arcade;2;;;;;;;;24MB;
Streets of Rage 3 - Chunli Version 3 (USA)(Hack);베어너클 III - 춘리 버전;SEGA Genesis;Bare Knuckle III (J);2018;SEGA;Arcade;2;;;;;;;;24MB;
bnzabros;보난자 브라더스;MAME megadrij;;1992;SEGA;Action;2;;;;;;;;4MB;
hokuto;북두의 권 / 라스트 배틀;MAME megadrij;Hokuto no Ken (1989,Sega,AT)(J);1989;SEGA;Action;1;;;;;;;;4MB;
beavisu;비비스 앤 벗헤드;MAME Genesis;;1994;Viacom;Action;2;;;;;;;;8MB;
Vixen 357 (1992)(NCS)(JP)(en-ja);빅센 357 (영문판);SEGA Mega Drive;;1992;NCS;SRPG;1;;;;;;;;8MB;
puyopuy2;뿌요뿌요 2 통;MAME megadrij;;1994;Compile;Puzzle;2;;;;;;;;16MB;
cyberb;사이버 브롤 / 코스믹 카네기 [32X];MAME 32x;cosmicc;1994;SEGA;VS Fight;1;;;;;;;;24MB;
Shining and the Darkness (K) [!];샤이닝 다크니스 (한글판);SEGA Mega Drive;;1991;SEGA;RPG;1;;;;;;;;8MB;
Shining Force (K) [!];샤이닝 포스 1 (한글판);SEGA Genesis;;1992;SEGA;SRPG;1;;;;;;;;12MB;
Shining Force ii (K) [!];샤이닝 포스 2 (한글판);SEGA Genesis;;1993;SEGA;SRPG;1;;;;;;;;16MB;
stellar;섀도우 스쿼드론 - 스텔라 어절트 [32X];MAME 32x;;1995;SEGA;Shooting;1;;;;;;;;16MB;
surging;서징 오라;MAME megadrij;Surging Aura (1994,Sega)(J);1995;SEGA;RPG;1;;;;;;;;16MB;
sonicj;소닉 1;MAME megadrij;Sonic The Hedgehog (1991,Sega,AT)(W)(Rev.01);1991;SEGA;Action;1;;;;;;;;4MB;
sonic2;소닉 2 ;MAME megadrij;Sonic The Hedgehog 2 (1992,Sega,AT)(W)(Rev.01);1992;SEGA;Action;2;;;;;;;;8MB;
Yoshi in Sonic the Hedgehog 2 (USA)(Hack);소닉 2 - 요시 버전;SEGA Genesis;Sonic The Hedgehog 2 (1992,Sega,AT)(W)(Rev.01);2018;SEGA;Action;2;;;;;;;;8MB;
